chnm,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28
codeine,-1.4732161187962438,-0.7566743396652028,0.08047751531799817,-0.33452056006524117,-0.2582424665627188,0.19945070490301098,0.10015757669850604,-0.16268016818994094,-0.0364878811083006,-0.3579615618584155,-0.05772741800355474,-0.34818042813343353,-0.48087590264448027,-0.05649912821910424,0.13052860425351026,-0.021702881236330986,-0.19056794852456654,0.2827773703899638,-0.3037919178498437,-0.03075179233714561,0.1967041502845876,-0.03967664466665936,-0.29607833217936363,0.17112329466947224,-0.203583830650244,-0.28835313920828154,0.07604585230131529,-0.22031076583227202
colchicine,5.471385831685821,3.3862627073225755,-2.7620650050979147,2.281218124224687,-0.11752408430796572,4.005122897702422,-1.9722419670013467,-0.9231092880122195,0.6606454712987696,1.9118313559308115,-6.6060974396780585,10.323460269654468,-12.83261704174194,9.259579099756424,-12.714866787411541,-1.2722645853141412,4.315205644121847,1.2929121258245402,1.0403894494019408,-0.1697635805497371,-2.9970693374854287,-0.15098226009548082,-1.0294526271491236,-3.2359831152850416,-2.7601825633421027,0.7774563855207824,-2.420885124717686,1.1481803195849656
cyproheptadine,-1.0900528609507512,-0.5964489504353911,-0.05654769092743274,-0.7397333005445258,-0.2241470140177474,0.0403683529830574,0.06723195771310217,-0.3387630762923434,-0.17721576023677788,-0.29565145939722615,0.6566597041060066,-0.46420253440714077,-0.9619079945203546,-0.48289178660760246,-0.03750419665418086,0.4038625082466988,-0.525603867233395,-0.9615479328995765,0.39075420362828134,-1.2950956286837052,0.691101861535261,0.03788903366029619,-1.2459590850109534,1.4052339768976625,-0.26809288622166966,-0.5253632361784711,-0.3566381992757394,-0.6271096552828284
danazol,-0.6289270867585425,0.9693277921015986,-0.4486724378402383,-0.7692454745511763,-0.557624438919922,-1.4118656356656902,0.343596733969673,-0.7950344578542665,-1.0151342508256411,-0.48879034049344405,-1.3366332517258297,-0.14835245960204407,0.4520898513822223,0.6441529365912362,-0.9202425123883642,-1.2740004093539772,-0.4098038826839698,-2.356399830808475,0.31586521827542563,-0.31174759756166487,0.4345050297050378,2.241409908660748,-2.6284352266658537,-1.882107458664648,-4.957343582623588,6.075884590549305,12.824842807285275,-0.7089401727776027
dapsone,1.5764611670339106,-0.47050724598783616,0.6174061888558626,-2.4665666313295826,0.43521201215752026,-2.2039165716387688,1.0321526443082307,-0.9900259477554149,-2.3070232079146273,-0.54725418408968,-2.102563841280462,-1.2889097031982357,3.373778912849556,1.0731745565377586,-1.1083532696381808,0.6201690500187427,-0.8799347503836347,4.341297052001376,-0.5049179586580705,0.9876744826269915,-1.7426126609675834,-8.638474334774147,0.7920434091999206,1.7761255087255527,-4.348405261187244,3.387557626087806,-3.5640541224782596,-4.262484204914331
dasatinib,-1.1796701687673468,-0.7342543857342892,-0.15928827749917818,-0.10797824795430905,-0.4063468607942214,0.1764400163448845,0.006628849663831762,-0.004747528732496536,-0.1596033649118682,-0.13048083027665694,0.3236930992000186,-0.3389348974868673,-0.4187201974416099,-0.17994436990411594,-0.24326202785695172,0.15411003409868046,-0.5272344167245478,-0.3045976191537141,0.2028238770882107,-0.5536735556350784,0.23876603782390293,0.25380518504636806,-0.3396515467800359,0.529069999785239,-0.43591103408574094,0.26634628856345366,-0.23741342323584108,-0.33408039129335293
daunorubicin,-1.0704533427945306,-0.31807238719224473,-0.08434633147808536,-0.6746297506687203,-0.2706460640531285,0.3419575387935455,-0.1821030600493235,-0.20964412351965186,-0.05466356934992653,-0.09818381459609629,1.5596858763142756,0.17419973634955016,-0.9400802591756631,0.08927246392277831,0.08917809127903426,-0.5408638822860988,-0.7932377930930288,-0.4029684583148372,1.2603637769122475,-0.6159468460923829,1.672500698735858,0.7156074828153963,-0.30984077348030337,1.5503197840262481,-1.1752668567834743,-0.31050836194489484,-0.8068326625230214,-0.6967676496720399
dexamethasone,-1.513870108959788,-0.8652391453450382,0.011830715691024443,-0.40156705878628635,-0.09966084800029226,0.06015224105000484,0.03361827725704739,-0.2822706501820713,-0.29784974039837625,-0.38258119418774544,-0.07780469552200993,-0.4640936415398604,-0.4320368739369284,-0.4081076375443355,0.11825145594196756,0.24500223800541562,-0.45811987857485725,-0.08961833304917928,-0.1485661090903095,-0.422127807348332,0.4158789926917393,0.14064225592008125,-0.5569121243768558,0.040237304279226144,-0.41962495285588935,-0.25125769403586196,-0.03187738009723782,-0.3848513142163132
diflunisal,-1.3832552387819574,-0.7309658291303222,0.05640162765538776,-0.5246930778725772,-0.462314836233309,0.1690792107438176,-0.018088708972552422,-0.05269779370626265,-0.14380513773181228,-0.26960225546818256,0.3066787175975454,-0.02416623595263691,-0.1476895901628058,-0.2588220424535805,0.05733917845823855,-0.39290380809599207,0.06062739560427849,0.07132692559617872,-0.03626862962559517,0.3442415852423324,-0.15765420999051147,-0.022777532339597503,-0.13025485048141963,0.19518325626467084,-0.6927703924955644,-0.5391929733890899,-0.45211124535977315,0.013982008475693863
digoxin,-0.7556571282818142,-1.0812504459619314,0.05064337518125381,-0.6842346342696866,-0.39000443103842963,0.21878978073113706,0.2585117615491417,-0.19853945474181953,-0.14817692001820174,-0.2290287530302859,1.0267873884155763,0.12473775855833875,-0.16705644144875828,-0.4851855250922376,-0.10153949507093395,-0.4754567926543848,-0.8641331615205149,-0.4862185840114413,0.5379686824155129,-0.14498567076136637,0.3023738283516374,0.5151849562819194,-0.16488298857342867,0.9760700649340942,-1.3967660132500819,-1.464582081183482,-0.2327003887828498,2.71437650792343
